2026-01-27 12:18:47.293 | INFO     | __main__:on_validation_epoch_end:460 - Epoch 1 验证总结（真实数据） >> mse_real: 0.0339 | mace_real: 438.8782 | auc@5: 0.0000 | auc@10: 0.0000 | auc@20: 0.0000
2026-01-27 12:18:48.081 | INFO     | __main__:on_validation_epoch_end:483 - 发现新的最优模型! Epoch 1, AUC@10: 0.0000
2026-01-27 12:18:48.082 | INFO     | __main__:_trigger_visualization:490 - 正在为 Epoch 1 生成可视化结果...
2026-01-27 12:18:49.193 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=5, Spatial Binning后=5
2026-01-27 12:18:49.194 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=4/5, H_est是否单位矩阵=False
2026-01-27 12:18:49.195 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 0: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:18:49.195 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 1: 匹配点数不足 (0 < 4)
2026-01-27 12:18:49.196 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 2: 匹配点数不足 (0 < 4)
2026-01-27 12:18:49.196 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 3: 匹配点数不足 (1 < 4)
2026-01-27 12:18:51.227 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 0: 匹配点数不足 (0 < 4)
2026-01-27 12:18:51.228 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 1: 匹配点数不足 (2 < 4)
2026-01-27 12:18:51.229 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 2: 匹配点数不足 (0 < 4)
2026-01-27 12:18:51.229 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 3: 匹配点数不足 (3 < 4)
2026-01-27 12:18:53.132 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 0: 匹配点数不足 (2 < 4)
2026-01-27 12:18:53.133 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 1: 匹配点数不足 (0 < 4)
2026-01-27 12:18:53.134 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 2: 匹配点数不足 (0 < 4)
2026-01-27 12:18:53.134 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 3: 匹配点数不足 (3 < 4)
2026-01-27 12:18:55.594 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 0: 匹配点数不足 (1 < 4)
2026-01-27 12:18:55.595 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 1: 总匹配点=7, Spatial Binning后=7
2026-01-27 12:18:55.598 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 1: RANSAC 成功, inliers=4/7, H_est是否单位矩阵=False
2026-01-27 12:18:55.598 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 1: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:18:55.599 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 2: 总匹配点=7, Spatial Binning后=7
2026-01-27 12:18:55.600 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 2: RANSAC 成功, inliers=5/7, H_est是否单位矩阵=False
2026-01-27 12:18:55.600 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 2: Inliers 数量较少 (5), 可能导致配准质量差
2026-01-27 12:18:55.600 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 3: 总匹配点=5, Spatial Binning后=5
2026-01-27 12:18:55.601 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 3: RANSAC 成功, inliers=4/5, H_est是否单位矩阵=False
2026-01-27 12:18:55.601 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 3: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:18:59.980 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 0: 匹配点数不足 (1 < 4)
2026-01-27 12:18:59.981 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 1: 匹配点数不足 (1 < 4)
2026-01-27 12:18:59.981 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 2: 匹配点数不足 (0 < 4)
